class,precision,recall,f1-score,support
Apple___Apple_scab,0.14285714285714285,0.13333333333333333,0.1379310344827586,15.0
Apple___Black_rot,0.1,0.07142857142857142,0.08333333333333333,14.0
Apple___Cedar_apple_rust,0.5,0.25,0.3333333333333333,8.0
Apple___healthy,0.07317073170731707,0.06,0.06593406593406592,50.0
Blueberry___healthy,0.10256410256410256,0.08333333333333333,0.09195402298850573,48.0
Cherry_(including_sour)___Powdery_mildew,0.08,0.08333333333333333,0.08163265306122448,24.0
Cherry_(including_sour)___healthy,0.2857142857142857,0.2222222222222222,0.25,27.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.0,0.0,0.0,15.0
Corn_(maize)___Common_rust_,0.23333333333333334,0.23333333333333334,0.23333333333333334,30.0
Corn_(maize)___Northern_Leaf_Blight,0.2413793103448276,0.2413793103448276,0.2413793103448276,29.0
Corn_(maize)___healthy,0.21428571428571427,0.16666666666666666,0.1875,36.0
Grape___Black_rot,0.125,0.10256410256410256,0.11267605633802817,39.0
Grape___Esca_(Black_Measles),0.13793103448275862,0.10810810810810811,0.12121212121212122,37.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.14285714285714285,0.16,0.15094339622641512,25.0
Grape___healthy,0.0,0.0,0.0,14.0
Orange___Haunglongbing_(Citrus_greening),0.21942446043165467,0.3719512195121951,0.27601809954751133,164.0
Peach___Bacterial_spot,0.21052631578947367,0.25806451612903225,0.23188405797101447,62.0
Peach___healthy,0.0,0.0,0.0,11.0
"Pepper,_bell___Bacterial_spot",0.23076923076923078,0.08823529411764706,0.12765957446808512,34.0
"Pepper,_bell___healthy",0.17857142857142858,0.11627906976744186,0.14084507042253522,43.0
Potato___Early_blight,0.2222222222222222,0.09523809523809523,0.13333333333333333,42.0
Potato___Late_blight,0.29411764705882354,0.16666666666666666,0.21276595744680848,30.0
Potato___healthy,0.5,0.25,0.3333333333333333,4.0
Raspberry___healthy,0.5,0.25,0.3333333333333333,8.0
Soybean___healthy,0.21067415730337077,0.4934210526315789,0.29527559055118113,152.0
Squash___Powdery_mildew,0.11842105263157894,0.16666666666666666,0.13846153846153844,54.0
Strawberry___Leaf_scorch,0.3333333333333333,0.08571428571428572,0.13636363636363638,35.0
Strawberry___healthy,0.0,0.0,0.0,15.0
Tomato___Bacterial_spot,0.18421052631578946,0.27450980392156865,0.2204724409448819,51.0
Tomato___Early_blight,0.1,0.06896551724137931,0.08163265306122448,29.0
Tomato___Late_blight,0.13333333333333333,0.10714285714285714,0.11881188118811882,56.0
Tomato___Leaf_Mold,0.058823529411764705,0.03225806451612903,0.041666666666666664,31.0
Tomato___Septoria_leaf_spot,0.07692307692307693,0.09523809523809523,0.0851063829787234,42.0
Tomato___Spider_mites Two-spotted_spider_mite,0.2619047619047619,0.19642857142857142,0.22448979591836735,56.0
Tomato___Target_Spot,0.16666666666666666,0.13043478260869565,0.14634146341463414,46.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.19612590799031476,0.47093023255813954,0.27692307692307694,172.0
Tomato___Tomato_mosaic_virus,0.08333333333333333,0.09090909090909091,0.08695652173913043,11.0
Tomato___healthy,0.0975609756097561,0.08888888888888889,0.09302325581395349,45.0
accuracy,0.6461632903621853,0.6461632903621853,0.6461632903621853,0.6461632903621853
macro avg,0.4852695727183799,0.488206423688208,0.47875951507940656,8145.0
weighted avg,0.6734474637839998,0.6461632903621853,0.6498462414735986,8145.0
